Partnership,Statutory authority,Policy clearance,Grant administration,Payments,Enforcement,Outreach
Child Care Access Means Parents in School,"Resolution of matters requiring the exercise of final and conclusive authority that has been assigned by statute to the Secretary of Education

https://www.ed.gov/media/document/ed-and-hhs-interagency-agreement-ccampis-partnership-september-30-2025-113003.pdf","Coordination of clearance of documents that communicate or implement policy, including non-regulatory guidance, Federal Register notices, budget justifications, and legislation

https://www.ed.gov/media/document/ed-and-hhs-interagency-agreement-ccampis-partnership-september-30-2025-113003.pdf","Ensure operation of annual grant awards in accordance with applicable statutory authority and applicable Education Department General Administrative Regulations (EDGAR), in coordination with HHS-ACF

Provision of services supporting the administration of CCAMPIS grant program components authorized by Section 419N of the Higher Education Act, as amended, intended to support the participation of low-income parents in postsecondary education through the provision of campus-based childcare services, as authorized by law, pursuant to 31 U.S.C. § 1301

https://www.ed.gov/media/document/ed-and-hhs-interagency-agreement-ccampis-partnership-september-30-2025-113003.pdf","ED will initiate the IPAC

Monitoring of drawdowns of funds to help ensure that grant funds do not lapse and are used to provide support for low-income students in accordance with Section 419N of the Higher Education Act

https://www.ed.gov/media/document/ed-and-hhs-interagency-agreement-ccampis-partnership-september-30-2025-113003.pdf","Monitoring of internal controls and risk assessments for CCAMPIS program

Execution of monitoring visits to grant recipient institutions to ensure compliance with applicable statutory requirements, including whether grant recipient institutions are engaging in good-faith efforts to facilitate program participation by low-income students at the institution, and to protect against waste, fraud, and abuse

https://www.ed.gov/media/document/ed-and-hhs-interagency-agreement-ccampis-partnership-september-30-2025-113003.pdf","Provision of appropriate other services pursuant to Section 419N of the Higher Education Act, in coordination with ED staff

https://www.ed.gov/media/document/ed-and-hhs-interagency-agreement-ccampis-partnership-september-30-2025-113003.pdf"
Civil Rights,"Nothing in this Agreement shall be construed to impair or prevent the ED Assistant Secretary for Civil Rights from performing statutory functions delegated to OCR and making final determinations with respect to any enforcement decisions

https://www.ed.gov/media/document/ed-and-doj-interagency-agreement-civil-rights-partnership-june-15-2026-114243.pdf","Develop policy, guidance, and procedures and provide technical assistance related to the statutes enforced by ED-OCR

https://www.ed.gov/media/document/ed-and-doj-interagency-agreement-civil-rights-partnership-june-15-2026-114243.pdf","Administration of the collection of data necessary to ensure compliance with civil rights laws within the jurisdiction of ED-OCR as authorized under Section 203(c)(1) of the Department of Education Organization Act

https://www.ed.gov/media/document/ed-and-doj-interagency-agreement-civil-rights-partnership-june-15-2026-114243.pdf","ED will transfer funds at agreed-upon intervals to reimburse DOJ for the costs of the services provided

https://www.ed.gov/media/document/ed-and-doj-interagency-agreement-civil-rights-partnership-june-15-2026-114243.pdf","Exercise ED-OCRs statutory and regulatory responsibilities in coordination with DOJ-CRT, including resolving investigations and compliance reviews based on DOJ-CRTs proposed findings and resolutions, as well as making final determinations on whether to refer findings for administrative enforcement within ED or to DOJ-CRT for judicial enforcement

Provide ED-OCR with evaluation, investigation, and attempted resolution, where appropriate, of matters referred by ED-OCR relating to the following statutes: i. Title VI of the Civil Rights Act of 1964 ii. Title IX of the Education Amendments of 1972 iii. Section 504 of the Rehabilitation Act of 1973 iv. Title II of the Americans with Disabilities Act of 1990 v. The Age Discrimination Act of 1975 vi. The Boy Scouts of America Equal Access Act of 2002

https://www.ed.gov/media/document/ed-and-doj-interagency-agreement-civil-rights-partnership-june-15-2026-114243.pdf","Develop policy, guidance, and procedures and provide technical assistance related to the statutes enforced by ED-OCR

https://www.ed.gov/media/document/ed-and-doj-interagency-agreement-civil-rights-partnership-june-15-2026-114243.pdf"
Elementary and Secondary Education,"Resolution of matters requiring the exercise of final and conclusive authority that has been assigned by statute to the Secretary of Education

https://www.ed.gov/media/document/ed-and-dol-interagency-agreement-elementary-and-secondary-education-partnership-updated-050126-113000.pdf","Development of program notices for publication in the Federal Register, announcement of discretionary program competitions and establishment of selection criteria, priorities, and program requirements related to OESE programs

https://www.ed.gov/media/document/ed-and-dol-interagency-agreement-elementary-and-secondary-education-partnership-updated-050126-113000.pdf","Coordination of clearance of grant program announcements, grant competition technical review plans, grant slate memoranda, and information collection packages

Provision of services supporting the administration of 21st Century Community Learning Centers program components authorized under 20 U.S.C. §§ 7171- 7176, intended to support creation of community learning centers that provide academic enrichment opportunities during non-school hours for children, as authorized by law, pursuant to 31 U.S.C. § 1301

https://www.ed.gov/media/document/ed-and-dol-interagency-agreement-elementary-and-secondary-education-partnership-updated-050126-113000.pdf","ED will initiate the IPAC

Monitoring of States drawdowns of funds to help ensure that grant funds do not lapse and are used to provide elementary and secondary education programs in accordance with applicable law

https://www.ed.gov/media/document/ed-and-dol-interagency-agreement-elementary-and-secondary-education-partnership-updated-050126-113000.pdf","Review of annual performance and fiscal reports submitted by States to OESE

Execution of monitoring visits to ensure discretionary grantees

https://www.ed.gov/media/document/ed-and-dol-interagency-agreement-elementary-and-secondary-education-partnership-updated-050126-113000.pdf","Provision of appropriate other services as specified by law, in coordination with OESE staff, including provision of technical and program improvement assistance to National, State, and local education systems, programs, and organizations and on the execution of national leadership functions in elementary and secondary education

https://www.ed.gov/media/document/ed-and-dol-interagency-agreement-elementary-and-secondary-education-partnership-updated-050126-113000.pdf"
Family Engagement and School Support,"Resolution of matters requiring the exercise of final and conclusive authority that has been assigned by statute to the Secretary of Education

https://www.ed.gov/media/document/interagency-agreement-ed-and-hhs-family-engagement-and-school-support-july-23-2026-113311.pdf","Coordination of review of documents circulated by Executive Secretariat and the Office of General Counsel (OGC) related to grant funds transferred to HHS

https://www.ed.gov/media/document/interagency-agreement-ed-and-hhs-family-engagement-and-school-support-july-23-2026-113311.pdf","Coordination with HHS on and obtain HHS concurrence for activities and awardees selected by ED for the covered programs

Coordinate with ED and obtain ED approval for activities and awardees ED has selected for the covered programs

https://www.ed.gov/media/document/interagency-agreement-ed-and-hhs-family-engagement-and-school-support-july-23-2026-113311.pdf","As the provider of funds for the activities carried out pursuant to this Agreement, ED will initiate the IPAC

Monitoring of drawdowns of funds to help ensure that grant funds do not lapse and are used to provide support for school safety efforts in accordance with applicable law

https://www.ed.gov/media/document/interagency-agreement-ed-and-hhs-family-engagement-and-school-support-july-23-2026-113311.pdf","Monitoring of internal controls and risk assessments for ED school safety programs

Execution of monitoring visits to ensure grantees compliance with applicable law and to protect against waste, fraud, and abuse, as well as to provide technical assistance to grantees in implementing applicable regulations for the covered programs

https://www.ed.gov/media/document/interagency-agreement-ed-and-hhs-family-engagement-and-school-support-july-23-2026-113311.pdf","Public engagement and communications

https://www.ed.gov/media/document/interagency-agreement-ed-and-hhs-family-engagement-and-school-support-july-23-2026-113311.pdf"
Federal Student Assistance,"To the extent a statutory, regulatory, or policy requirement is not specifically addressed in the below chart or in the more detailed workflow, it remains the FSA

https://www.ed.gov/media/document/ed-treasury-interagency-agreement-federal-student-assistance-partnership-march-19-2026-113468.pdf","Education will fully support Treasurys efforts to gain familiarity with the defaulted student loan portfolio and the associated servicing requirements

Treasury will review the programmatic and policy requirements that govern the eligibility for students to receive federal student financial assistance, including but not limited to the administration of the Free Application for Federal Student Aid and eligibility for institutions of higher education to gain and retain eligibility for federal student financial assistance, including but not limited to origination of loans, oversight, and enforcement activities

https://www.ed.gov/media/document/ed-treasury-interagency-agreement-federal-student-assistance-partnership-march-19-2026-113468.pdf","FSA is responsible for managing the administrative and oversight functions supporting all federal financial aid programs authorized under Title IV of the HEA, including Pell Grants, the Federal Direct Loan Program, the Federal Family Education Loan Program, the Perkins Loan Program, and campus-based aid programs such as Federal Work Study and the Supplemental Educational Opportunity Grant Program

https://www.ed.gov/media/document/ed-treasury-interagency-agreement-federal-student-assistance-partnership-march-19-2026-113468.pdf","Must be sufficient to cover its full costs

Manage incoming payments from debtors, employers, and other payors including IPAC

https://www.ed.gov/media/document/ed-treasury-interagency-agreement-federal-student-assistance-partnership-march-19-2026-113468.pdf","Referrals made pursuant to this Attachment are for collection purposes only and do not transfer ownership of the debt from Education to Treasury

This Agreement provides an initial outline of roles and responsibilities that will be executed in accordance with the first phase of the plan agreed to by Treasury and Education with an emphasis on defaulted loan collections

https://www.ed.gov/media/document/ed-treasury-interagency-agreement-federal-student-assistance-partnership-march-19-2026-113468.pdf","FSAs core activities consistent of: (1) Informing students and families about the availability of federal student aid programs and the process for applying for and receiving aid from multiple programs

https://www.ed.gov/media/document/ed-treasury-interagency-agreement-federal-student-assistance-partnership-march-19-2026-113468.pdf"
Foreign Medical Accreditation,"Resolve matters requiring the exercise of final and conclusive authority that has been assigned by statute to the Secretary of Education

https://www.ed.gov/media/document/ed-and-hhs-interagency-agreement-foreign-medical-accreditation-partnership-september-30-2025-113004.pdf","Coordinate clearance of documents that communicate or implement NCFMEA decisions and actions

https://www.ed.gov/media/document/ed-and-hhs-interagency-agreement-foreign-medical-accreditation-partnership-september-30-2025-113004.pdf",NOT ADDRESSED,"All transfers made under this provision shall be for services provided under 15 U.S.C. 1535

https://www.ed.gov/media/document/ed-and-hhs-interagency-agreement-foreign-medical-accreditation-partnership-september-30-2025-113004.pdf",NOT ADDRESSED,"Coordinate with representatives of foreign governments and the designated accrediting body for medical schools in their country

https://www.ed.gov/media/document/ed-and-hhs-interagency-agreement-foreign-medical-accreditation-partnership-september-30-2025-113004.pdf"
Indian Education,"Resolution of matters requiring the exercise of final and conclusive authority that has been assigned by statute to the Secretary of Education

https://www.ed.gov/media/document/ed-and-doi-interagency-agreement-indian-education-partnership-september-30-2025-and-january-9-2026-addendum-113021.pdf","Development of program notices for publication in the Federal Register, announcement of discretionary program competitions and establishment of selection criteria, priorities, and program requirements

https://www.ed.gov/media/document/ed-and-doi-interagency-agreement-indian-education-partnership-september-30-2025-and-january-9-2026-addendum-113021.pdf","Operation of annual grant awards to States in accordance with applicable statutory authority and the applicable Education Department General Administrative Regulations (EDGAR)

Provision of services supporting the administration of American Rescue Plan - American Indian Resilience in Education (ARP-AIRE) program components authorized under the American Rescue Plan, intended to support Tribal education agencies (TEAs) in the provision of direct services to American Indian children and youth with a one-time discretionary grant competition, as authorized by law, pursuant to 31 U.S.C. § 1301

https://www.ed.gov/media/document/ed-and-doi-interagency-agreement-indian-education-partnership-september-30-2025-and-january-9-2026-addendum-113021.pdf","ED will be responsible for any Prompt Payment Act interest and penalties resulting from any delay in the transfer of funds to DOI

Monitoring of drawdowns of funds by recipient entities, to help ensure that grant funds do not lapse and are used to provide support for American Indian education as stipulated by law

https://www.ed.gov/media/document/ed-and-doi-interagency-agreement-indian-education-partnership-september-30-2025-and-january-9-2026-addendum-113021.pdf","Review of annual performance and fiscal reports submitted by States related to American Indian education programs

Execution of monitoring visits to ensure discretionary grantees

https://www.ed.gov/media/document/ed-and-doi-interagency-agreement-indian-education-partnership-september-30-2025-and-january-9-2026-addendum-113021.pdf","Provision of appropriate other services in coordination with ED staff, including provision of technical and program improvement assistance to National, State, local, and tribal education systems, programs, and organizations and on the execution of national leadership functions in American Indian education

https://www.ed.gov/media/document/ed-and-doi-interagency-agreement-indian-education-partnership-september-30-2025-and-january-9-2026-addendum-113021.pdf"
International Education and Foreign Language Studies,"Resolution of matters requiring the exercise of final and conclusive authority that has been assigned by statute to the Secretary of Education

https://www.ed.gov/media/document/ed-and-state-department-interagency-agreement-ifle-partnership-september-30-2025-113005.pdf","Coordination of clearance of documents that communicate or implement policy, including non-regulatory guidance, Federal Register notices, budget justifications, and legislation

https://www.ed.gov/media/document/ed-and-state-department-interagency-agreement-ifle-partnership-september-30-2025-113005.pdf","Coordination of clearance of grant program announcements, grant competition technical review plans, grant slate memoranda, and information collection packages related to ED grant programs

Provision of services supporting the administration of American Overseas Research Centers (AORC) program components authorized under 20 U.S.C. $$ 1128a, 1132-37, intended to provide grants to consortia of institutions of higher education (IHEs) in the United States to establish or operate overseas research centers) to promote postgraduate research, exchanges, and area studies, as authorized by law, pursuant to 31 U.S.C. § 1301

https://www.ed.gov/media/document/ed-and-state-department-interagency-agreement-ifle-partnership-september-30-2025-113005.pdf","ED will initiate the IPAC

Monitoring of drawdowns of funds to help ensure that grant funds do not lapse and are used in accordance with the relevant statutory authorities

https://www.ed.gov/media/document/ed-and-state-department-interagency-agreement-ifle-partnership-september-30-2025-113005.pdf","Monitoring of ED internal controls and risk assessments

Execution of monitoring visits to grant recipient institutions to ensure compliance with applicable statutory requirements and to protect against waste, fraud, and abuse

https://www.ed.gov/media/document/ed-and-state-department-interagency-agreement-ifle-partnership-september-30-2025-113005.pdf","Provision of appropriate other services pursuant to relevant statutory authorities, in coordination with ED staff, including provision of technical and program improvement assistance to National, State, institutions of higher education, and local education systems, programs, and organizations

https://www.ed.gov/media/document/ed-and-state-department-interagency-agreement-ifle-partnership-september-30-2025-113005.pdf"
Postsecondary Education,"Resolution of matters requiring the exercise of final and conclusive authority that has been assigned by statute to the Secretary of Education

https://www.ed.gov/media/document/ed-and-dol-interagency-agreement-postsecondary-education-partnership-september-30-2025-and-january-9-2026-addendum-113002.pdf","Coordination of clearance of documents that communicate or implement policy, including non-regulatory guidance, Federal Register notices, budget justifications, and legislation

https://www.ed.gov/media/document/ed-and-dol-interagency-agreement-postsecondary-education-partnership-september-30-2025-and-january-9-2026-addendum-113002.pdf","Operation of annual grant awards to States in accordance with applicable statutory authority and applicable Education Department General Administrative Regulations (EDGAR)

Provision of services supporting the administration of Augustus F. Hawkins Center of Excellence (Hawkins) Program components authorized under 20 U.S.C. § 1033a, intended to support comprehensive, high-quality State- accredited teacher preparation programs by creating centers of excellence at Historically Black Colleges and Universities (HBCUs); Tribal Colleges or Universities (TCUs); or Minority Serving Institutions (MSIs), as authorized by law, pursuant to 31 U.S.C. § 1301

https://www.ed.gov/media/document/ed-and-dol-interagency-agreement-postsecondary-education-partnership-september-30-2025-and-january-9-2026-addendum-113002.pdf","ED will initiate the IPAC

Monitoring of grantees drawdowns of funds to help ensure that grant funds do not lapse and are used to provide programs in accordance with applicable statutory authority

https://www.ed.gov/media/document/ed-and-dol-interagency-agreement-postsecondary-education-partnership-september-30-2025-and-january-9-2026-addendum-113002.pdf","Performance of all duties associated with internal and external accountability requirements related to higher education programs, including ED priorities, Government Performance and Results Act (GPRA), and ongoing reporting to Congress

Execution of monitoring visits to grant recipients to ensure compliance with applicable statutory requirements and to protect against waste, fraud, and abuse

https://www.ed.gov/media/document/ed-and-dol-interagency-agreement-postsecondary-education-partnership-september-30-2025-and-january-9-2026-addendum-113002.pdf","And on the execution of national leadership functions in higher education

https://www.ed.gov/media/document/ed-and-dol-interagency-agreement-postsecondary-education-partnership-september-30-2025-and-january-9-2026-addendum-113002.pdf"
Section 117,"Resolution of Section 117-related matters requiring the exercise of final and conclusive authority that has been assigned to ED by statute

https://www.ed.gov/media/document/interagency-agreement-ed-and-state-department-section-117-february-23-2026-113310.pdf","Development of notices for publication in the Federal Register

https://www.ed.gov/media/document/interagency-agreement-ed-and-state-department-section-117-february-23-2026-113310.pdf",NOT ADDRESSED,"ED will transfer funds to DOS, subject to the availability of appropriations, as necessary to cover the services being provided by DOS to ED as well as to manage the appropriate staff

https://www.ed.gov/media/document/interagency-agreement-ed-and-state-department-section-117-february-23-2026-113310.pdf","Management and leadership of all enforcement reviews, inquiries, and investigations of Section 117 compliance by IHEs

Provision of leadership for compliance resolution processes, including initiation of compliance reviews, civil investigations, recommendations for referral to the Attorney General for civil actions, recovery of the full costs of enforcement, and the completion of all related activities

https://www.ed.gov/media/document/interagency-agreement-ed-and-state-department-section-117-february-23-2026-113310.pdf","Provision of technical and program public inspection assistance to the public

https://www.ed.gov/media/document/interagency-agreement-ed-and-state-department-section-117-february-23-2026-113310.pdf"
